genome_name,taxon_id,antibiotic,resistant_phenotype,STRING_name_compact
Burkholderia cepacia B40,292,chloramphenicol,Susceptible,Burkholderia cepacia
Burkholderia cepacia B40,292,ciprofloxacin,Susceptible,Burkholderia cepacia
Burkholderia cepacia B40,292,meropenem,Susceptible,Burkholderia cepacia
Burkholderia cepacia B40,292,trimethoprim/sulfamethoxazole,Susceptible,Burkholderia cepacia
Burkholderia cepacia B42,292,cefoxitin,Susceptible,Burkholderia cepacia
Burkholderia cepacia B42,292,ceftazidime,Susceptible,Burkholderia cepacia
Burkholderia cepacia B42,292,chloramphenicol,Susceptible,Burkholderia cepacia
Burkholderia cepacia B42,292,ciprofloxacin,Susceptible,Burkholderia cepacia
Burkholderia cepacia B42,292,meropenem,Susceptible,Burkholderia cepacia
Burkholderia cepacia B42,292,trimethoprim/sulfamethoxazole,Susceptible,Burkholderia cepacia
Burkholderia cepacia B44,292,cefoxitin,Susceptible,Burkholderia cepacia
Burkholderia cepacia B44,292,ceftazidime,Susceptible,Burkholderia cepacia
Burkholderia cepacia B44,292,chloramphenicol,Susceptible,Burkholderia cepacia
Burkholderia cepacia B44,292,ciprofloxacin,Susceptible,Burkholderia cepacia
Burkholderia cepacia B44,292,meropenem,Susceptible,Burkholderia cepacia
Burkholderia cepacia B44,292,trimethoprim/sulfamethoxazole,Susceptible,Burkholderia cepacia
Burkholderia cepacia B45,292,cefoxitin,Susceptible,Burkholderia cepacia
Burkholderia cepacia B45,292,ceftazidime,Susceptible,Burkholderia cepacia
Burkholderia cepacia B45,292,chloramphenicol,Susceptible,Burkholderia cepacia
Burkholderia cepacia B45,292,ciprofloxacin,Susceptible,Burkholderia cepacia
Burkholderia cepacia B45,292,meropenem,Susceptible,Burkholderia cepacia
Burkholderia cepacia B45,292,trimethoprim/sulfamethoxazole,Susceptible,Burkholderia cepacia
Burkholderia cepacia B46,292,cefoxitin,Susceptible,Burkholderia cepacia
Burkholderia cepacia B46,292,ceftazidime,Susceptible,Burkholderia cepacia
Burkholderia cepacia B46,292,chloramphenicol,Susceptible,Burkholderia cepacia
Burkholderia cepacia B46,292,ciprofloxacin,Susceptible,Burkholderia cepacia
Burkholderia cepacia B46,292,meropenem,Susceptible,Burkholderia cepacia
Burkholderia cepacia B46,292,trimethoprim/sulfamethoxazole,Susceptible,Burkholderia cepacia
Burkholderia cepacia B47,292,cefoxitin,Susceptible,Burkholderia cepacia
Burkholderia cepacia B47,292,ceftazidime,Susceptible,Burkholderia cepacia
Burkholderia cepacia B47,292,chloramphenicol,Susceptible,Burkholderia cepacia
Burkholderia cepacia B47,292,ciprofloxacin,Susceptible,Burkholderia cepacia
Burkholderia cepacia B47,292,meropenem,Susceptible,Burkholderia cepacia
Burkholderia cepacia B47,292,trimethoprim/sulfamethoxazole,Susceptible,Burkholderia cepacia
Burkholderia cepacia B48,292,cefoxitin,Susceptible,Burkholderia cepacia
Burkholderia cepacia B48,292,ceftazidime,Susceptible,Burkholderia cepacia
